age,gender,height_cm,weight_kg,activity_level,purpose,bmi,body_fat_pct,lean_body_mass_kg,bmr,tdee,height_m,weight_height_ratio,bmi_squared,bmi_category_numeric,fat_mass_kg,lean_mass_percentage,fat_free_mass_index,age_squared,age_group,metabolic_age_factor,activity_numeric,activity_multiplier,daily_energy_expenditure_per_kg,gender_weight_interaction,gender_height_interaction,purpose_numeric,calorie_adjustment_direction,calories_needed
44,Male,178.9,88.3,sedentary,weight_gain,27.59,27,64.5,1777,2132,1.789,0.493571828,761.2081,2,23.841,73.04643262,20.15296884,1936,1,0.838523971,0,1.199774902,24.14496036,88.3,178.9,2,1,2523
68,Female,162.6,50.6,lightly_active,weight_loss,19.14,33.2,33.8,1053,1448,1.626,0.311193112,366.3396,1,16.7992,66.79841897,12.78426068,4624,2,0.867094862,1,1.375118708,28.61660079,0,0,0,-1,1200
25,Female,161,51.3,moderately_active,weight_loss,19.79,24.1,38.9,1224,1897,1.61,0.31863354,391.6441,1,12.3633,75.82846004,15.00713707,625,0,0.994152047,2,1.549836601,36.9785575,0,0,0,-1,1624
32,Female,165.9,46.2,lightly_active,weight_loss,16.79,22.1,36,1166,1603,1.659,0.278481013,281.9041,0,10.2102,77.92207792,13.08005978,1024,1,1.051587302,1,1.374785592,34.6969697,0,0,0,-1,1308
42,Male,177.9,75,sedentary,muscle_gain,23.7,21.9,58.6,1648,1978,1.779,0.42158516,561.69,1,16.425,78.13333333,18.51593808,1764,1,0.915555556,0,1.200242718,26.37333333,75,177.9,1,0,2318
21,Male,169.5,70.7,sedentary,maintain,24.61,18.2,57.8,1647,1976,1.695,0.417109145,605.6521,1,12.8674,81.75388967,20.11816813,441,0,0.970650636,0,1.199757134,27.94908062,70.7,169.5,1,0,1935
39,Male,172.6,45.3,sedentary,weight_loss,15.21,11,40.3,1301,1561,1.726,0.262456547,231.3441,0,4.983,88.96247241,13.52768442,1521,1,1.19665195,0,1.199846272,34.45916115,45.3,172.6,0,-1,1249
32,Female,155,60.4,lightly_active,weight_loss,25.14,32.1,41,1253,1723,1.55,0.389677419,632.0196,2,19.3884,67.8807947,17.06555671,1024,1,0.86437638,1,1.375099761,28.52649007,0,0,0,-1,1214
66,Female,167.9,69.1,sedentary,muscle_gain,24.51,39.2,42,1261,1513,1.679,0.411554497,600.7401,1,27.0872,60.78147612,14.89868363,4356,2,0.760371442,0,1.199841396,21.89580318,0,0,1,0,1734
26,Female,166.9,60.4,sedentary,maintain,21.68,26.6,44.3,1344,1613,1.669,0.361893349,470.0224,1,16.0664,73.34437086,15.9034392,676,0,0.927152318,0,1.20014881,26.70529801,0,0,1,0,1631
68,Male,166,57.3,lightly_active,weight_gain,20.79,24.4,43.3,1287,1770,1.66,0.345180723,432.2241,1,13.9812,75.56719023,15.71345623,4624,2,0.935863874,1,1.375291375,30.89005236,57.3,166,2,1,2201
39,Female,164.7,67.2,lightly_active,weight_loss,24.77,33.3,44.8,1342,1845,1.647,0.408014572,613.5529,1,22.3776,66.66666667,16.51546537,1521,1,0.832093254,1,1.374813711,27.45535714,0,0,0,-1,1448
31,Female,162.7,72.9,sedentary,weight_gain,27.54,34.8,47.5,1416,1699,1.627,0.448063921,758.4516,2,25.3692,65.15775034,17.94396873,961,1,0.809327846,0,1.199858757,23.30589849,0,0,2,1,2036
25,Male,169.5,60.6,sedentary,weight_loss,21.09,14.9,51.6,1521,1825,1.695,0.357522124,444.7881,1,9.0294,85.14851485,17.96016394,625,0,1.045792079,0,1.199868508,30.11551155,60.6,169.5,0,-1,1503
18,Male,174.8,65.6,sedentary,muscle_gain,21.47,13.7,56.6,1635,1962,1.748,0.375286041,460.9609,1,8.9872,86.2804878,18.52394891,324,0,1.038490854,0,1.2,29.90853659,65.6,174.8,1,0,2276
20,Male,179.6,72.8,sedentary,muscle_gain,22.57,15.5,61.5,1733,2080,1.796,0.405345212,509.4049,1,11.284,84.47802198,19.06612566,400,0,0.991872711,0,1.200230814,28.57142857,72.8,179.6,1,0,2414
51,Male,180,73.6,moderately_active,weight_loss,22.72,22.8,56.8,1605,2488,1.8,0.408888889,516.1984,1,16.7808,77.17391304,17.5308642,2601,2,0.908627717,2,1.550155763,33.80434783,73.6,180,0,-1,2182
20,Female,175,64.2,lightly_active,weight_loss,20.96,24.4,48.5,1452,1996,1.75,0.366857143,439.3216,1,15.6648,75.54517134,15.83673469,400,0,0.942367601,1,1.374655647,31.09034268,0,0,0,-1,1699
42,Male,174.6,81.9,lightly_active,weight_loss,26.87,25.7,60.9,1697,2333,1.746,0.469072165,721.9969,2,21.0483,74.35897436,19.97693304,1764,1,0.863349613,1,1.374779022,28.48595849,81.9,174.6,0,-1,1822
